No.,RegEx,Similarity,Type,Reply,RegEx Priority,Sim Priority,DA Type
1,do you like coffee\s?\??,do you like \drink,*,\q ! That is my favorite Beverage...,1,0.8,yn
2,do you like chocolate\s?\??,do you like \sweet,*,I’ve got a sweet tooth!,1,0.8,yn
3,is coffee liked by you\s?\??,is \coffee-tea liked by you,*,My favorite choice of beverage includes \q,1,0.8,wh
4,will \w* win\s?\??,will \country win,*,Yeah \q will certainly win!,1,0.8,wh
5,is chocolate bad for health\s?\??,3,*,\q is bad only on over consumption.,1,0.8,wh
6,do you know ronaldo\s?\??,do you know \football,*,\q ! Is my favourite player in football...,1,0.8,wh
8,do you love to eat banana\s?\??,do you love to eat \fruit,*,yeah its my favourite fruit,1,0.8,wh
9,do you like rose\s?\??,do you like \flower,*,yeah ! \q look beautiful,1,0.8,yn
10,Do you like  music\s?\??,do you like \music,*,Yes I do like it very much !,1,0.8,wh
11,Is zinc a metal\s?\??,Is \metal a metal,*,\q is one of the toughest metals,1,0.8,yn
12,Is \rice a cereal\s?\??,Is \cereal a cereal,*,Yes its a type of cereal,1,0.8,yn
7,Is cotton a fiber\s?\??,Is \fiber a fiber,*,yeah its one of the best fibers,1,0.8,yn
14,hello,hello,$,Hello Human!,1,0.8,wh
15,how do you do\s?\??,how do you do,$,I’m Fine,1,0.8,wh
16,who are you\s?\??,who are you,$,Assistant bot at your service...,1,0.8,wh
17,what happened\s?\??,what happened,$,Nothing. I’m perfectly fine.,1,0.8,wh
18,what is wrong with me\s?\??,what is wrong with me,$,You are just too perfect.,1,0.8,suggest
19,how many planets are there in our solar system\s?\??,how many planets are there in our solar system?,$,Nine,1,0.8,wh
20,what is the fastest Animal on earth\s?\??,who is the fastest Animal on earth?,$,Chettah,1,0.8,wh
21,how many states are there in india\s?\??,How many states are there in india?,$,29 states,1,0.8,wh
22,are you clever\s?\??,Are you clever?,$,yes,1,0.8,yn
23,why did we make you\s?\??,why did we make you,$,For one reason only : to make your life more easier and more fun,1,0.8,wh
24,Are you a man or a Woman\s?\??,Are you a man or a Woman,$,Don’t let my voice fool you : I don’t have a gender.,1,0.8,choice
25,How much do you Cost\s?\??,How much do you Cost,$,I’m a Pearl beyond price!!,1,0.8,wh
26,How old are you\s?\??,How old are you,$,I’m old enough to be your assistant.,0.5,0.8,wh
27,What are you doing after work today\s?\??,What are you doing after work today,$,I’m learning some new tricks.,1,0.8,wh
28,Tell me a joke\s?\??,Tell me a joke,$,The past present and future walk into a bar. It was tense.,1,0.8,request
29,How do i look\s?\??,How do i look,$,Judging from your voice i would say you must be fairly attractive.,0.5,0.8,wh
30,How old are you\s?\??,How old are you,$,A virtual assistant never reveals its age.,0.5,0.8,wh
